code,score,ra,dec,RA_MODEL,DEC_MODEL,tile,directory
COSJ100020+021308,S04,150.08503724044905,2.219132524402607,150.0850339887776,2.2191311416612733,A3,S04/S04_ABBXXX_COSJ100020+021308
COSJ100034+021133,S01,150.143320438592,2.1926248272378417,150.14332750137285,2.192621830029541,A3,S01/S01_SUUXXX_COSJ100034+021133
COSJ100033+022752,S04,150.1415994502907,2.464572747184465,150.1416058278444,2.4645705560839404,B2,S04/S04_BBBSXX_COSJ100033+022752
COSJ100031+022615,S03,150.1300838303319,2.4376582284575976,150.13008360287935,2.437669051060396,B2,S03/S03_BBBXXX_COSJ100031+022615
COSJ100031+022639,S01,150.12988951041353,2.444361354426119,150.12987161954183,2.444356278451468,B2,S01/S01_SUXXXX_COSJ100031+022639
COSJ100041+022807,S07,150.1744772189351,2.4687592052562293,150.17447537353442,2.4687629413878627,B3,S07/S07_AABSSU_COSJ100041+022807
COSJ100042+022746,S07,150.1773696612239,2.4630019599713173,150.17736956809236,2.463006068510302,B3,S07/S07_AAABXX_COSJ100042+022746
COSJ100043+022356,S04,150.18012541772725,2.398930162802135,150.18010585210902,2.3989266523599873,B3,S04/S04_BBUUXX_COSJ100043+022356
COSJ100038+022455,S04,150.1583506937899,2.415390150398544,150.15835309453132,2.4153951322856333,B3,S04/S04_BBBBUX_COSJ100038+022455
COSJ100044+022404,S03,150.18374983006987,2.401387620663707,150.18373310410541,2.401362638095236,B3,S03/S03_ABUXXX_COSJ100044+022404
COSJ100045+022738,S03,150.18920857296774,2.460604962900517,150.189206597372,2.4606059591878857,B3,S03/S03_ABUUXX_COSJ100045+022738
COSJ100046+022321,S02,150.1928754585608,2.3893168028067855,150.19284635840717,2.3892723006258314,B3,S02/S02_BBUUXX_COSJ100046+022321
COSJ100018+022138,M24,150.07693452226474,2.3607571280031108,150.07693316150755,2.3607541835779733,B7,M24/M24_COSJ100018+022138
COSJ100025+022001,S06,150.1061925922195,2.333773078044581,150.10619087480003,2.3337774941320952,B7,S06/S06_AABBXX_COSJ100025+022001
COSJ100013+022023,S04,150.05449681736195,2.3398085219450135,150.0545127313892,2.339818651311905,B7,S04/S04_AAUUXX_COSJ100013+022023
COSJ100018+022034,S03,150.07813665884888,2.3429828705471016,150.07813844319764,2.3429819963110066,B7,S03/S03_BBBUUU_COSJ100018+022034
COSJ100016+022131,S01,150.06722123944033,2.3586556534938907,150.0672175165767,2.358659617780825,B7,S01/S01_BUUXXX_COSJ100016+022131
COSJ100028+021928,M24,150.1190671708019,2.324503233664766,150.1190540237275,2.324504212810451,B8,M24/M24_COSJ100028+021928
COSJ100024+021749,M24,150.10008884771986,2.2971327568143396,150.10009620999793,2.2971327709368454,B8,M24/M24_COSJ100024+021749
COSJ100028+021731,S10,150.11824595743911,2.2920934155835826,150.11824335175066,2.2921199117598183,B8,S10/S10_AAAAAU_COSJ100028+021731
COSJ100033+021339,S08,150.13914229196897,2.2275567933410665,150.13913704761455,2.227544458786757,B8,S08/S08_AAABBX_COSJ100033+021339
COSJ100030+022026,S07,150.12836413848757,2.340788616117586,150.1283631899819,2.340788877733573,B8,S07/S07_AABBBU_COSJ100030+022026
COSJ100044+021508,S07,150.18358312198555,2.252395210636485,150.18358843615297,2.252408530442094,B8,S07/S07_AAABUX_COSJ100044+021508
COSJ100023+021652,S06,150.0979868443229,2.281363003557188,150.0979968904956,2.281362397096479,B8,S06/S06_AASSXX_COSJ100023+021652
COSJ100046+021906,S06,150.19251438178796,2.3183473691768337,150.19251438468336,2.318348206361699,B8,S06/S06_AABSUX_COSJ100046+021906
COSJ100028+021600,S06,150.11770891695673,2.266757644895458,150.11771452293027,2.2667586992044675,B8,S06/S06_AAAUUX_COSJ100028+021600
COSJ100043+022143,S05,150.18087786818202,2.3621438125484584,150.18087480923933,2.362145367606907,B8,S05/S05_AABUXX_COSJ100043+022143
COSJ100022+021312,S04,150.09561997844438,2.220134013078592,150.09561242475561,2.2201381505459095,B8,S04/S04_ABSUUU_COSJ100022+021312
COSJ100028+021710,S03,150.11738828912775,2.286310805544353,150.1173945516813,2.2863106736917223,B8,S03/S03_ABUUUX_COSJ100028+021710
COSJ100025+021538,S02,150.10434871494607,2.260571608116354,150.10433798346784,2.2605706259179303,B8,S02/S02_AUUUXX_COSJ100025+021538
COSJ100049+021945,S00,150.20571963555142,2.3292329260482285,150.20571918901493,2.32923281281911,B8,S00/S00_UUXXXX_COSJ100049+021945
COSJ100030+021410,S00,150.12565438181724,2.2361338379674285,150.1256550057577,2.236131309994149,B8,S00/S00_UUUXXY_COSJ100030+021410
